year,session_regime,car_number,driver_name,event_kind,attempt_ordinal,attempt_ordinal_quality,performance_mph,completion_status,chronology_quality,relative_order,strategy_event,result_before,result_after,exact_timestamp,timestamp_status,source_class,source_name,source_url,evidence_note,safe_for_action_training,safe_for_performance_training
2023,LAST_CHANCE,51,Sting Ray Robb,OFFICIAL_COMPLETE_RESULT,1,NOT_PROVEN_SINGLE_ATTEMPT_BUT_NO_REPEAT_REPORTED,229.549,COMPLETE,UNKNOWN,UNKNOWN,INITIAL_OR_ONLY_ATTEMPT,NO_LAST_CHANCE_RESULT,OFFICIAL_RESULT,,UNKNOWN,OFFICIAL_API_PLUS_OFFICIAL_REPORT,RLL Rides Roller Coaster of Agony,https://www.indycar.com/news/2023/05/05-21-rll-lastchance,Official final result; no repeat attempt attributed to this driver in the cited official chronology.,False,True
2023,LAST_CHANCE,15,Graham Rahal,OFFICIAL_COMPLETE_RESULT,1,EXACT,229.159,COMPLETE,PARTIAL_ORDER,LAST_OF_GUARANTEED_FIRST_ATTEMPTS,INITIAL_OR_ONLY_ATTEMPT,NO_LAST_CHANCE_RESULT,OFFICIAL_RESULT,,UNKNOWN,OFFICIAL_API_PLUS_OFFICIAL_REPORT,RLL Rides Roller Coaster of Agony,https://www.indycar.com/news/2023/05/05-21-rll-lastchance,Rahal is explicitly reported as the last driver to make his first attempt. Harvey is explicitly reported as the only driver to make multiple attempts.,False,True
2023,LAST_CHANCE,30,Jack Harvey,ATTEMPT,1,EXACT,,COMPLETE_OR_RESULT_NOT_YET_RECOVERED,PARTIAL_ORDER,BEFORE_ATTEMPT_2,INITIAL_ATTEMPT,NO_LAST_CHANCE_RESULT,UNKNOWN,,UNKNOWN,OFFICIAL_INDYCAR_REPORT,Paddock Buzz: Mixed Emotions for Harvey,https://www.indycar.com/News/2023/05/05-21-Buzz,"Official source establishes Harvey later made attempts 2, 3 and 4; attempt-1 numeric result is not assigned here without source evidence.",False,False
2023,LAST_CHANCE,30,Jack Harvey,ATTEMPT,2,EXACT,,WAVED_OFF_AFTER_TWO_LAPS,PARTIAL_ORDER,AFTER_ATTEMPT_1_BEFORE_ATTEMPT_3,REATTEMPT,PREVIOUS_RESULT_STATE_UNKNOWN,NO_COMPLETE_NEW_FOUR_LAP_RESULT,,UNKNOWN,OFFICIAL_INDYCAR_REPORT,Paddock Buzz: Mixed Emotions for Harvey,https://www.indycar.com/News/2023/05/05-21-Buzz,Official source states Harvey's second qualifying attempt was waved off after two laps.,False,False
2023,LAST_CHANCE,30,Jack Harvey,ATTEMPT,3,EXACT,,COMPLETE_BUT_BELOW_RAHAL,PARTIAL_ORDER,AFTER_ATTEMPT_2_BEFORE_FINAL_ATTEMPT,REATTEMPT,PREVIOUS_RESULT_STATE_UNKNOWN,STILL_OUTSIDE_FINAL_TRANSFER_POSITION,,UNKNOWN,OFFICIAL_INDYCAR_REPORT,Paddock Buzz: Mixed Emotions for Harvey,https://www.indycar.com/News/2023/05/05-21-Buzz,Official source states Harvey's third attempt also failed to dislodge Rahal.,False,False
2023,LAST_CHANCE,30,Jack Harvey,ATTEMPT,4,EXACT,229.166,COMPLETE,BOUNDED_SESSION_END,FINAL_DECISIVE_RUN_AS_SESSION_EXPIRED,REATTEMPT,OUTSIDE_FIELD,QUALIFIED_POSITION_33,,UNKNOWN,OFFICIAL_API_PLUS_OFFICIAL_REPORT,Paddock Buzz: Mixed Emotions for Harvey,https://www.indycar.com/News/2023/05/05-21-Buzz,"Official source describes Harvey starting the decisive fourth run as session time expired. API final record is 229.166 mph, 0.007 mph faster than Rahal's 229.159.",False,True
2024,LAST_CHANCE,51,Katherine Legge,OFFICIAL_COMPLETE_RESULT,1,PROVISIONAL_SINGLE_ATTEMPT,230.092,COMPLETE,UNKNOWN,UNKNOWN,INITIAL_OR_ONLY_ATTEMPT,NO_LAST_CHANCE_RESULT,QUALIFIED,,UNKNOWN,OFFICIAL_API,INDYCAR EventsSessionDetails,https://www.indycar.com/news/2024/05/05-19-lastchance,Official API complete four-lap result. No additional attempt is assigned without chronology evidence.,False,True
2024,LAST_CHANCE,15,Graham Rahal,OFFICIAL_COMPLETE_RESULT,1,PROVISIONAL_SINGLE_ATTEMPT,229.974,COMPLETE,UNKNOWN,UNKNOWN,INITIAL_OR_ONLY_ATTEMPT,NO_LAST_CHANCE_RESULT,QUALIFIED,,UNKNOWN,OFFICIAL_API,INDYCAR EventsSessionDetails,https://www.indycar.com/news/2024/05/05-19-lastchance,Official API complete four-lap result. No additional attempt is assigned without chronology evidence.,False,True
2024,LAST_CHANCE,28,Marcus Ericsson,ATTEMPT,1,PROVISIONAL_EARLIER_ATTEMPT,,FAILED_VALID_FOUR_LAP_RESULT,PARTIAL_ORDER,BEFORE_SUCCESSFUL_230.027_RUN,INITIAL_ATTEMPT,NO_LAST_CHANCE_RESULT,NO_SECURE_RESULT,,UNKNOWN,OFFICIAL_INDYCAR_REPORT,"Ericsson, Rahal Ride Turbulent Waves of Bump Drama",https://www.indycar.com/news/2024/05/05-19-lastchance,"Official report states Ericsson miscounted the qualifying lap and lifted after taking the white flag, requiring another run.",False,False
2024,LAST_CHANCE,28,Marcus Ericsson,ATTEMPT,2,PROVISIONAL_SECOND_ATTEMPT,230.027,COMPLETE,PARTIAL_ORDER,AFTER_FAILED_EARLIER_RUN_BEFORE_SIEGEL_FINAL_RUN,REATTEMPT,NO_SECURE_RESULT,QUALIFIED_POSITION_32,,UNKNOWN,OFFICIAL_API_PLUS_OFFICIAL_REPORT,"Ericsson, Rahal Ride Turbulent Waves of Bump Drama",https://www.indycar.com/news/2024/05/05-19-lastchance,Successful official four-lap result; article states Ericsson then had to wait through Siegel's final attempt.,False,True
2024,LAST_CHANCE,18,Nolan Siegel,ATTEMPT,1,EXACT,229.566,COMPLETE,PARTIAL_ORDER,EARLY_VALID_RUN_BEFORE_BEING_BUMPED,INITIAL_ATTEMPT,NO_LAST_CHANCE_RESULT,PROVISIONALLY_QUALIFIED_THEN_LATER_BUMPED,,UNKNOWN,OFFICIAL_API_PLUS_OFFICIAL_REPORT,"Ericsson, Rahal Ride Turbulent Waves of Bump Drama",https://www.indycar.com/news/2024/05/05-19-lastchance,Official report explicitly identifies 229.566 mph as Siegel's first qualifying attempt.,False,True
2024,LAST_CHANCE,18,Nolan Siegel,ATTEMPT,2,EXACT_FINAL_ATTEMPT,,CRASH_INCOMPLETE,BOUNDED_SESSION_END,FINAL_ATTEMPT_OF_SESSION,REATTEMPT,OUTSIDE_FIELD,FAILED_TO_QUALIFY,,UNKNOWN,OFFICIAL_INDYCAR_REPORT,Penske Back on Track for Front Row Sweep; Siegel Out,https://www.indycar.com/news/2024/05/05-19-top12-update,Official report states Siegel crashed on the final qualifying attempt of the session while trying to bump Rahal.,False,False
