observation_id,year,session_date,evidence_type,stated_local_time,local_timezone,normalized_utc,value_numeric,unit,normalized_value_c,stated_value_text,session_semantics,source_title,source_url,source_class,evidence_quality,measurement_semantics,observation_status,evidence_context,local_asset,review_note
PTSC2020-0325,2020,2020-08-15,TRACK_TEMPERATURE,08:15:00,America/Indiana/Indianapolis,2020-08-15T12:15:00Z,80.0,degF,26.666666666666668,80°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2020 Temp Archive; source row 325; selected date-block occurrence 1; sensor average 79.7°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2020-0326,2020,2020-08-15,TRACK_TEMPERATURE,08:30:00,America/Indiana/Indianapolis,2020-08-15T12:30:00Z,81.0,degF,27.22222222222222,81°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2020 Temp Archive; source row 326; selected date-block occurrence 1; sensor average 80.825°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2020-0327,2020,2020-08-15,TRACK_TEMPERATURE,08:45:00,America/Indiana/Indianapolis,2020-08-15T12:45:00Z,82.0,degF,27.77777777777778,82°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2020 Temp Archive; source row 327; selected date-block occurrence 1; sensor average 82.325°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2020-0328,2020,2020-08-15,TRACK_TEMPERATURE,09:00:00,America/Indiana/Indianapolis,2020-08-15T13:00:00Z,84.0,degF,28.88888888888889,84°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2020 Temp Archive; source row 328; selected date-block occurrence 1; sensor average 83.8°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2020-0329,2020,2020-08-15,TRACK_TEMPERATURE,09:15:00,America/Indiana/Indianapolis,2020-08-15T13:15:00Z,86.0,degF,30.0,86°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2020 Temp Archive; source row 329; selected date-block occurrence 1; sensor average 85.75°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2020-0330,2020,2020-08-15,TRACK_TEMPERATURE,09:30:00,America/Indiana/Indianapolis,2020-08-15T13:30:00Z,88.0,degF,31.11111111111111,88°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2020 Temp Archive; source row 330; selected date-block occurrence 1; sensor average 87.775°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2020-0331,2020,2020-08-15,TRACK_TEMPERATURE,10:45:00,America/Indiana/Indianapolis,2020-08-15T14:45:00Z,99.0,degF,37.22222222222222,99°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2020 Temp Archive; source row 331; selected date-block occurrence 1; sensor average 99.025°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2020-0332,2020,2020-08-15,TRACK_TEMPERATURE,11:00:00,America/Indiana/Indianapolis,2020-08-15T15:00:00Z,101.0,degF,38.333333333333336,101°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2020 Temp Archive; source row 332; selected date-block occurrence 1; sensor average 100.675°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2020-0333,2020,2020-08-15,TRACK_TEMPERATURE,11:15:00,America/Indiana/Indianapolis,2020-08-15T15:15:00Z,103.0,degF,39.44444444444444,103°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2020 Temp Archive; source row 333; selected date-block occurrence 1; sensor average 102.95°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2020-0334,2020,2020-08-15,TRACK_TEMPERATURE,11:30:00,America/Indiana/Indianapolis,2020-08-15T15:30:00Z,105.0,degF,40.55555555555556,105°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2020 Temp Archive; source row 334; selected date-block occurrence 1; sensor average 105.175°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2020-0335,2020,2020-08-15,TRACK_TEMPERATURE,11:45:00,America/Indiana/Indianapolis,2020-08-15T15:45:00Z,107.0,degF,41.666666666666664,107°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2020 Temp Archive; source row 335; selected date-block occurrence 1; sensor average 106.5°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2020-0336,2020,2020-08-15,TRACK_TEMPERATURE,12:00:00,America/Indiana/Indianapolis,2020-08-15T16:00:00Z,110.0,degF,43.333333333333336,110°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2020 Temp Archive; source row 336; selected date-block occurrence 1; sensor average 110.1°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2020-0337,2020,2020-08-15,TRACK_TEMPERATURE,12:15:00,America/Indiana/Indianapolis,2020-08-15T16:15:00Z,116.0,degF,46.666666666666664,116°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2020 Temp Archive; source row 337; selected date-block occurrence 1; sensor average 115.57500000000002°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2020-0338,2020,2020-08-15,TRACK_TEMPERATURE,12:30:00,America/Indiana/Indianapolis,2020-08-15T16:30:00Z,118.0,degF,47.77777777777778,118°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2020 Temp Archive; source row 338; selected date-block occurrence 1; sensor average 117.85°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2020-0339,2020,2020-08-15,TRACK_TEMPERATURE,12:45:00,America/Indiana/Indianapolis,2020-08-15T16:45:00Z,120.0,degF,48.888888888888886,120°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2020 Temp Archive; source row 339; selected date-block occurrence 1; sensor average 120.25°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2020-0340,2020,2020-08-15,TRACK_TEMPERATURE,13:00:00,America/Indiana/Indianapolis,2020-08-15T17:00:00Z,122.0,degF,50.0,122°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2020 Temp Archive; source row 340; selected date-block occurrence 1; sensor average 121.55°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2020-0341,2020,2020-08-15,TRACK_TEMPERATURE,13:15:00,America/Indiana/Indianapolis,2020-08-15T17:15:00Z,123.0,degF,50.55555555555556,123°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2020 Temp Archive; source row 341; selected date-block occurrence 1; sensor average 123.05°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2020-0342,2020,2020-08-15,TRACK_TEMPERATURE,13:30:00,America/Indiana/Indianapolis,2020-08-15T17:30:00Z,125.0,degF,51.666666666666664,125°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2020 Temp Archive; source row 342; selected date-block occurrence 1; sensor average 125.25°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2020-0343,2020,2020-08-15,TRACK_TEMPERATURE,13:45:00,America/Indiana/Indianapolis,2020-08-15T17:45:00Z,128.0,degF,53.333333333333336,128°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2020 Temp Archive; source row 343; selected date-block occurrence 1; sensor average 127.95°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2020-0344,2020,2020-08-15,TRACK_TEMPERATURE,14:00:00,America/Indiana/Indianapolis,2020-08-15T18:00:00Z,122.0,degF,50.0,122°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2020 Temp Archive; source row 344; selected date-block occurrence 1; sensor average 122.075°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2020-0345,2020,2020-08-15,TRACK_TEMPERATURE,14:15:00,America/Indiana/Indianapolis,2020-08-15T18:15:00Z,124.0,degF,51.111111111111114,124°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2020 Temp Archive; source row 345; selected date-block occurrence 1; sensor average 123.75°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2020-0346,2020,2020-08-15,TRACK_TEMPERATURE,14:30:00,America/Indiana/Indianapolis,2020-08-15T18:30:00Z,129.0,degF,53.888888888888886,129°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2020 Temp Archive; source row 346; selected date-block occurrence 1; sensor average 129.35°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2020-0347,2020,2020-08-15,TRACK_TEMPERATURE,14:45:00,America/Indiana/Indianapolis,2020-08-15T18:45:00Z,123.0,degF,50.55555555555556,123°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2020 Temp Archive; source row 347; selected date-block occurrence 1; sensor average 123.375°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2020-0348,2020,2020-08-15,TRACK_TEMPERATURE,15:00:00,America/Indiana/Indianapolis,2020-08-15T19:00:00Z,123.0,degF,50.55555555555556,123°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2020 Temp Archive; source row 348; selected date-block occurrence 1; sensor average 122.725°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
PTSC2020-0349,2020,2020-08-15,TRACK_TEMPERATURE,15:15:00,America/Indiana/Indianapolis,2020-08-15T19:15:00Z,124.0,degF,51.111111111111114,124°F,Target-date structured observation; rows outside qualifying hours remain Day 1 date context,PTSC-hosted FirestoneTemperatures workbook,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,PTSC_HOSTED_FIRESTONE_NAMED_WORKBOOK,STRUCTURED_OBSERVED_SOURCE_WITH_UNIT_LIMITATIONS,EXPLICIT_WORKBOOK_TRACK_TEMPERATURE,DIRECT_NUMERIC_OBSERVATION,Sheet 2020 Temp Archive; source row 349; selected date-block occurrence 1; sensor average 124.25°F.,weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,Not INDYCAR official. PTSC hosts a Firestone-named workbook; local metadata does not independently authenticate authorship or measurement operator.
