year,regime,car_number,driver_name,queue_entry_time,run_time,observed_wait_minutes,lower_wait_bound_minutes,upper_wait_bound_minutes,related_attempt_interval_minutes,related_interval_lower_minutes,related_interval_upper_minutes,source,evidence_quality,evidence_class,note
2020,DAY1_LANE_UNKNOWN_REPEAT,8,Marcus Ericsson,UNKNOWN,2020-08-15T18:16:35Z,,,,123.333333,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2020,DAY1_LANE_UNKNOWN_REPEAT,81,Ben Hanley,UNKNOWN,2020-08-15T19:30:50Z,,,,174.25,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2020,DAY1_LANE_UNKNOWN_REPEAT,88,Colton Herta,UNKNOWN,2020-08-15T19:05:50Z,,,,101.75,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2020,DAY1_LANE_UNKNOWN_REPEAT,9,Scott Dixon,UNKNOWN,2020-08-15T18:00:45Z,,,,155,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2020,DAY1_LANE_UNKNOWN_REPEAT,9,Scott Dixon,UNKNOWN,2020-08-15T19:15:00Z,,,,74.25,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2021,DAY1_LANE_UNKNOWN_REPEAT,12,Will Power,UNKNOWN,2021-05-22T21:33:54Z,,,,252.3,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2021,DAY1_LANE_UNKNOWN_REPEAT,16,Simona De Silvestro,UNKNOWN,2021-05-22T21:30:13Z,,,,183.616667,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2021,DAY1_LANE_UNKNOWN_REPEAT,16,Simona De Silvestro,UNKNOWN,2021-05-22T21:50:59Z,,,,20.766667,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2021,DAY1_LANE_UNKNOWN_REPEAT,18,Ed Jones,UNKNOWN,2021-05-22T21:07:57Z,,,,288.016667,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2021,DAY1_LANE_UNKNOWN_REPEAT,2,Josef Newgarden,UNKNOWN,2021-05-22T18:44:56Z,,,,125.833333,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2021,DAY1_LANE_UNKNOWN_REPEAT,21,Rinus VeeKay,UNKNOWN,2021-05-22T18:49:55Z,,,,126.65,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2021,DAY1_LANE_UNKNOWN_REPEAT,25,Stefan Wilson,UNKNOWN,2021-05-22T19:06:36Z,,,,156.666667,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2021,DAY1_LANE_UNKNOWN_REPEAT,25,Stefan Wilson,UNKNOWN,2021-05-22T21:12:26Z,,,,125.833333,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2021,DAY1_LANE_UNKNOWN_REPEAT,26,Colton Herta,UNKNOWN,2021-05-22T20:25:16Z,,,,132.816667,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2021,DAY1_LANE_UNKNOWN_REPEAT,4,Dalton Kellett,UNKNOWN,2021-05-22T21:46:39Z,,,,241.716667,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2021,DAY1_LANE_UNKNOWN_REPEAT,47,Conor Daly,UNKNOWN,2021-05-22T19:55:55Z,,,,126.816667,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2021,DAY1_LANE_UNKNOWN_REPEAT,60,Jack Harvey,UNKNOWN,2021-05-22T19:02:24Z,,,,64.133333,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2021,DAY1_LANE_UNKNOWN_REPEAT,7,Felix Rosenqvist,UNKNOWN,2021-05-22T21:21:31Z,,,,225.75,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2021,DAY1_LANE_UNKNOWN_REPEAT,86,Juan Pablo Montoya,UNKNOWN,2021-05-22T21:02:45Z,,,,231.15,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2021,DAY1_LANE_UNKNOWN_REPEAT,98,Marco Andretti,UNKNOWN,2021-05-22T18:54:55Z,,,,169.15,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2021,DAY1_LANE_UNKNOWN_REPEAT,98,Marco Andretti,UNKNOWN,2021-05-22T21:25:30Z,,,,150.583333,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2022,DAY1_LANE_UNKNOWN_REPEAT,06,Helio Castroneves,UNKNOWN,UNKNOWN,,,,,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2022,DAY1_LANE_UNKNOWN_REPEAT,18,David Malukas,UNKNOWN,UNKNOWN,,,,,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2022,DAY1_LANE_UNKNOWN_REPEAT,24,Sage Karam,UNKNOWN,UNKNOWN,,,,,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2022,DAY1_LANE_UNKNOWN_REPEAT,27,Alexander Rossi,UNKNOWN,UNKNOWN,,,,,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2022,DAY1_LANE_UNKNOWN_REPEAT,3,Scott McLaughlin,UNKNOWN,UNKNOWN,,,,,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2022,DAY1_LANE_UNKNOWN_REPEAT,51,Takuma Sato,UNKNOWN,UNKNOWN,,,,,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2022,DAY1_LANE_UNKNOWN_REPEAT,77,Callum Ilott,UNKNOWN,UNKNOWN,,,,,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2022,DAY1_LANE_UNKNOWN_REPEAT,98,Marco Andretti,UNKNOWN,UNKNOWN,,,,,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2023,DAY1_LANE_UNKNOWN_REPEAT,06,Helio Castroneves,UNKNOWN,UNKNOWN,,,,,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2023,DAY1_LANE_UNKNOWN_REPEAT,11,Takuma Sato,UNKNOWN,2023-05-20T19:48:58Z,,,,177.433333,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2023,DAY1_LANE_UNKNOWN_REPEAT,12,Will Power,UNKNOWN,UNKNOWN,,,,,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2023,DAY1_LANE_UNKNOWN_REPEAT,12,Will Power,UNKNOWN,UNKNOWN,,,,,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2023,DAY1_LANE_UNKNOWN_REPEAT,15,Graham Rahal,UNKNOWN,UNKNOWN,,,,,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2023,DAY1_LANE_UNKNOWN_REPEAT,18,David Malukas,UNKNOWN,UNKNOWN,,,,,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2023,DAY1_LANE_UNKNOWN_REPEAT,18,David Malukas,UNKNOWN,UNKNOWN,,,,,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2023,DAY1_LANE_UNKNOWN_REPEAT,2,Josef Newgarden,UNKNOWN,UNKNOWN,,,,,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2023,DAY1_LANE_UNKNOWN_REPEAT,20,Conor Daly,UNKNOWN,UNKNOWN,,,,,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2023,DAY1_LANE_UNKNOWN_REPEAT,23,Ryan Hunter-Reay,UNKNOWN,UNKNOWN,,,,,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2023,DAY1_LANE_UNKNOWN_REPEAT,23,Ryan Hunter-Reay,UNKNOWN,UNKNOWN,,,,,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2023,DAY1_LANE_UNKNOWN_REPEAT,24,Stefan Wilson,UNKNOWN,UNKNOWN,,,,,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2023,DAY1_LANE_UNKNOWN_REPEAT,24,Stefan Wilson,UNKNOWN,UNKNOWN,,,,,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2023,DAY1_LANE_UNKNOWN_REPEAT,26,Colton Herta,UNKNOWN,UNKNOWN,,,,,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2023,DAY1_LANE_UNKNOWN_REPEAT,26,Colton Herta,UNKNOWN,UNKNOWN,,,,,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2023,DAY1_LANE_UNKNOWN_REPEAT,26,Colton Herta,UNKNOWN,UNKNOWN,,,,,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2023,DAY1_LANE_UNKNOWN_REPEAT,27,Kyle Kirkwood,UNKNOWN,2023-05-20T19:17:10Z,,,,122.2,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2023,DAY1_LANE_UNKNOWN_REPEAT,27,Kyle Kirkwood,UNKNOWN,2023-05-20T20:10:26Z,,,,53.266667,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2023,DAY1_LANE_UNKNOWN_REPEAT,29,Devlin DeFrancesco,UNKNOWN,2023-05-20T19:04:53Z,,,,161.5,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2023,DAY1_LANE_UNKNOWN_REPEAT,3,Scott McLaughlin,UNKNOWN,UNKNOWN,,,,,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2023,DAY1_LANE_UNKNOWN_REPEAT,33,Ed Carpenter,UNKNOWN,2023-05-20T19:25:49Z,,,,200.6,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2023,DAY1_LANE_UNKNOWN_REPEAT,33,Ed Carpenter,UNKNOWN,2023-05-20T20:47:30Z,,,,81.683333,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2023,DAY1_LANE_UNKNOWN_REPEAT,45,Christian Lundgaard,UNKNOWN,UNKNOWN,,,,,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2023,DAY1_LANE_UNKNOWN_REPEAT,45,Christian Lundgaard,UNKNOWN,UNKNOWN,,,,,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2023,DAY1_LANE_UNKNOWN_REPEAT,45,Christian Lundgaard,UNKNOWN,UNKNOWN,,,,,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2023,DAY1_LANE_UNKNOWN_REPEAT,51,Sting Ray Robb,UNKNOWN,UNKNOWN,,,,,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2023,DAY1_LANE_UNKNOWN_REPEAT,51,Sting Ray Robb,UNKNOWN,UNKNOWN,,,,,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2023,DAY1_LANE_UNKNOWN_REPEAT,6,Felix Rosenqvist,UNKNOWN,UNKNOWN,,,,,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2023,DAY1_LANE_UNKNOWN_REPEAT,60,Simon Pagenaud,UNKNOWN,UNKNOWN,,,,,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2023,DAY1_LANE_UNKNOWN_REPEAT,66,Tony Kanaan,UNKNOWN,2023-05-20T18:58:45Z,,,,177.883333,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2023,DAY1_LANE_UNKNOWN_REPEAT,66,Tony Kanaan,UNKNOWN,2023-05-20T20:33:51Z,,,,95.1,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2023,DAY1_LANE_UNKNOWN_REPEAT,77,Callum Ilott,UNKNOWN,2023-05-20T18:45:04Z,,,,123.3,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2023,DAY1_LANE_UNKNOWN_REPEAT,8,Marcus Ericsson,UNKNOWN,2023-05-20T18:14:06Z,,,,169.733333,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2023,DAY1_LANE_UNKNOWN_REPEAT,8,Marcus Ericsson,UNKNOWN,2023-05-20T19:57:53Z,,,,103.783333,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2023,DAY1_LANE_UNKNOWN_REPEAT,9,Scott Dixon,UNKNOWN,2023-05-20T19:07:40Z,,,,209.933333,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2024,DAY1_LANE_UNKNOWN_REPEAT,15,Graham Rahal,UNKNOWN,UNKNOWN,,,,,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2024,DAY1_LANE_UNKNOWN_REPEAT,15,Graham Rahal,UNKNOWN,UNKNOWN,,,,,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2024,DAY1_LANE_UNKNOWN_REPEAT,18,Nolan Siegel,UNKNOWN,UNKNOWN,,,,,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2024,DAY1_LANE_UNKNOWN_REPEAT,21,Rinus VeeKay,UNKNOWN,UNKNOWN,,,,,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2024,DAY1_LANE_UNKNOWN_REPEAT,23,Ryan Hunter-Reay,UNKNOWN,UNKNOWN,,,,,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2024,DAY1_LANE_UNKNOWN_REPEAT,24,Conor Daly,UNKNOWN,UNKNOWN,,,,,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2024,DAY1_LANE_UNKNOWN_REPEAT,26,Colton Herta,UNKNOWN,UNKNOWN,,,,,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2024,DAY1_LANE_UNKNOWN_REPEAT,28,Marcus Ericsson,UNKNOWN,UNKNOWN,,,,,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2024,DAY1_LANE_UNKNOWN_REPEAT,28,Marcus Ericsson,UNKNOWN,UNKNOWN,,,,,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2024,DAY1_LANE_UNKNOWN_REPEAT,30,Pietro Fittipaldi,UNKNOWN,UNKNOWN,,,,,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2024,DAY1_LANE_UNKNOWN_REPEAT,41,Sting Ray Robb,UNKNOWN,UNKNOWN,,,,,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2024,DAY1_LANE_UNKNOWN_REPEAT,45,Christian Lundgaard,UNKNOWN,UNKNOWN,,,,,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2024,DAY1_LANE_UNKNOWN_REPEAT,5,Pato O'Ward,UNKNOWN,UNKNOWN,,,,,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
2024,DAY1_LANE_UNKNOWN_REPEAT,5,Pato O'Ward,UNKNOWN,UNKNOWN,,,,,,,r4/output/r4p2_multi_run_transitions_v1.csv,ATTEMPT_INTERVAL_NOT_QUEUE_WAIT,unavailable,Lane and queue-entry time are not observed; elapsed interval must not be converted to queue wait.
