pair_id,year,driver_name,car_number,baseline_attempt_id,repeat_attempt_id,baseline_speed_mph,observed_repeat_delta_mph,reconstructed_repeat_speed_mph,diagnostic_recovery_like,baseline_below_year_median,diagnostic_branch,baseline_timing_usable,repeat_timing_usable,baseline_hrrr_leakage_safe,repeat_hrrr_leakage_safe,baseline_context_usable,repeat_context_usable,baseline_performance_time_utc,repeat_performance_time_utc,seconds_since_prior_supported_attempt,elapsed_time_role,pair_environment_fit_ready,causal_effect_claim_allowed,queue_wait_truth_claim,baseline_forecast_temp_c,repeat_forecast_temp_c,delta_forecast_temp_c,baseline_forecast_dewpoint_c,repeat_forecast_dewpoint_c,delta_forecast_dewpoint_c,baseline_forecast_relative_humidity_pct,repeat_forecast_relative_humidity_pct,delta_forecast_relative_humidity_pct,baseline_forecast_wind_speed_10m_ms,repeat_forecast_wind_speed_10m_ms,delta_forecast_wind_speed_10m_ms,baseline_forecast_gust_ms,repeat_forecast_gust_ms,delta_forecast_gust_ms,baseline_forecast_pressure_hpa,repeat_forecast_pressure_hpa,delta_forecast_pressure_hpa,baseline_forecast_cloud_cover_pct,repeat_forecast_cloud_cover_pct,delta_forecast_cloud_cover_pct,baseline_forecast_shortwave_radiation_wm2,repeat_forecast_shortwave_radiation_wm2,delta_forecast_shortwave_radiation_wm2,baseline_ptsc_ambient_c,repeat_ptsc_ambient_c,delta_ptsc_ambient_c,baseline_ptsc_track_c,repeat_ptsc_track_c,delta_ptsc_track_c,baseline_ptsc_humidity,repeat_ptsc_humidity,delta_ptsc_humidity,baseline_ptsc_wind,repeat_ptsc_wind,delta_ptsc_wind,baseline_ptsc_pressure,repeat_ptsc_pressure,delta_ptsc_pressure
R3B3B-011,2020,Pato O'Ward,5,194c9baa-3297-571e-82bf-ac3ba81e07fc,757828a3-822d-5bd8-b9f0-681a6918b48b,229.9020000000,0.3110000000,230.2130000000,False,False,NORMAL_DIAGNOSTIC,True,True,True,True,True,True,2020-08-15T15:34:55Z,2020-08-15T20:22:30Z,17255.0,PAIR_METADATA_ONLY_NOT_TRACK_EVOLUTION,True,False,False,26.4643014696,31.3220687866,4.8577673170,19.9575783200,18.2585178375,-1.6990604824,67.6261347473,45.8365670104,-21.7895677369,0.9136247043,0.6295622216,-0.2840624827,2.3131063435,2.2749222610,-0.0381840824,987.0090277778,986.9250000000,-0.0840277778,0.0000000000,0.0000000000,0.0000000000,762.0102777778,703.9125000000,-58.0977777778,27.2222222222,31.1111111111,3.8888888889,40.9197530864,52.2222222222,11.3024691358,0.6367222222,0.5150000000,-0.1217222222,4.3277777778,1.0050000000,-3.3227777778,29.1732777778,29.1200000000,-0.0532777778
R3B3B-012,2021,Josef Newgarden,2,c4c9ba22-d28c-5937-b36c-72fffbbb67b5,2493785c-dc47-5ba6-8d28-5398e7a11983,230.0490000000,0.0220000000,230.0710000000,False,False,NORMAL_DIAGNOSTIC,True,True,True,True,True,True,2021-05-22T16:39:06Z,2021-05-22T18:44:56Z,7550.0,PAIR_METADATA_ONLY_NOT_TRACK_EVOLUTION,True,False,False,25.9818677266,28.5284213596,2.5465536329,13.4803567251,10.9765707737,-2.5037859514,46.5777562669,33.7493978052,-12.8283584617,2.9028148016,3.1044255107,0.2016107091,5.5900041303,4.9613024267,-0.6287017037,1001.5955000000,1000.3008888889,-1.2946111111,100.0000000000,80.9155555556,-19.0844444444,770.4633333333,909.5733333333,139.1100000000,27.0037037037,27.7777777778,0.7740740741,35.6740740741,39.4395061728,3.7654320988,0.4757333333,0.4400000000,-0.0357333333,0.6066666667,1.0000000000,0.3933333333,29.5939333333,29.5600000000,-0.0339333333
R3B3B-013,2021,Rinus VeeKay,21,407a503c-1695-5af6-9b88-28e9d802c8d1,c10dbae2-ca30-5e09-88ab-298fcf7fa163,230.8410000000,0.6420000000,231.4830000000,False,False,NORMAL_DIAGNOSTIC,True,True,True,True,True,True,2021-05-22T16:43:16Z,2021-05-22T18:49:55Z,7599.0,PAIR_METADATA_ONLY_NOT_TRACK_EVOLUTION,True,False,False,26.1030373467,28.5979722765,2.4949349297,13.2411805047,10.7850168016,-2.4561637031,45.4759384322,33.1579793425,-12.3179590896,2.9761835446,3.0630591846,0.0868756400,5.6052617966,4.9165710586,-0.6886907380,1001.6163333333,1000.2344444444,-1.3818888889,100.0000000000,87.2277777778,-12.7722222222,760.6022222222,904.0916666667,143.4894444444,27.1580246914,28.1419753086,0.9839506173,35.9827160494,40.5370370370,4.5543209877,0.4646222222,0.4367222222,-0.0279000000,0.8844444444,1.0000000000,0.1155555556,29.5911555556,29.5567222222,-0.0344333333
R3B3B-014,2021,Marco Andretti,98,c2deab22-d3a0-5601-80f8-4cbf631c8f88,b671a083-ccd6-5511-a882-53e7bf202c19,229.2610000000,0.6110000000,229.8720000000,False,True,NORMAL_DIAGNOSTIC,True,True,True,True,True,True,2021-05-22T16:05:46Z,2021-05-22T18:54:55Z,10149.0,PAIR_METADATA_ONLY_NOT_TRACK_EVOLUTION,True,False,False,24.6534681702,28.6677558051,4.0142876350,14.5527802107,10.5928221809,-3.9599580299,53.5170898885,32.5645828917,-20.9525069969,2.1861705597,3.0215545096,0.8353839499,4.4803237619,4.8716900873,0.3913663254,1001.2384444444,1000.1677777778,-1.0706666667,100.0000000000,93.5611111111,-6.4388888889,453.5633333333,898.5916666667,445.0283333333,25.9827160494,28.5123456790,2.5296296296,34.4444444444,41.6481481481,7.2037037037,0.5123111111,0.4333888889,-0.0789222222,1.3844444444,1.0000000000,-0.3844444444,29.6061555556,29.5533888889,-0.0527666667
R3B3B-015,2021,Jack Harvey,60,7d5d82b7-9765-51c9-b149-cb7de00d3905,8ff02437-bce9-5d86-b3c7-906d93963538,225.4960000000,4.6950000000,230.1910000000,True,True,RECOVERY_LIKE_DIAGNOSTIC,True,True,True,True,True,True,2021-05-22T17:58:16Z,2021-05-22T19:02:24Z,3848.0,PAIR_METADATA_ONLY_NOT_TRACK_EVOLUTION,True,False,False,27.8575275336,28.7199548340,0.8624273003,11.8113339912,10.3714697266,-1.4398642646,36.9573463818,31.9408069456,-5.0165394362,3.2630805752,2.9976669946,-0.2654135806,5.1976110594,4.8195264626,-0.3780845969,1000.9202222222,1000.0960000000,-0.8242222222,100.0000000000,100.0000000000,0.0000000000,827.6355555556,874.8800000000,47.2444444444,27.2864197531,28.9777777778,1.6913580247,37.8419753086,43.0444444444,5.2024691358,0.4500000000,0.4284000000,-0.0216000000,2.0000000000,1.0000000000,-1.0000000000,29.5700000000,29.5484000000,-0.0216000000
R3B3B-016,2021,Stefan Wilson,25,8c31470a-6324-527c-bfc3-fe19d8c1dc4d,09935cc4-f542-569f-b50c-7460e0663860,229.7140000000,-0.0200000000,229.6940000000,False,True,NORMAL_DIAGNOSTIC,True,True,True,True,True,True,2021-05-22T16:29:56Z,2021-05-22T19:06:36Z,9400.0,PAIR_METADATA_ONLY_NOT_TRACK_EVOLUTION,True,False,False,25.5089407349,28.6871466064,3.1782058716,13.8724228075,10.3260491943,-3.5463736131,48.8961490938,31.9049502254,-16.9911988685,2.2907990616,3.0297075776,0.7389085160,4.7522677010,4.8080908474,0.0558231464,1001.3995555556,1000.0890000000,-1.3105555556,100.0000000000,100.0000000000,0.0000000000,581.6466666667,843.1700000000,261.5233333333,26.6666666667,29.1333333333,2.4666666667,34.9975308642,43.5111111111,8.5135802469,0.5000000000,0.4256000000,-0.0744000000,0.0088888889,1.0000000000,0.9911111111,29.6000000000,29.5456000000,-0.0544000000
R3B3B-017,2021,Conor Daly,47,11be8bd4-5c39-5bd2-b24f-b6c87f0d885a,fb947c1e-3d51-506f-bbbc-12ecbcdce5da,230.4270000000,-0.1540000000,230.2730000000,False,False,NORMAL_DIAGNOSTIC,True,True,True,True,True,True,2021-05-22T17:49:06Z,2021-05-22T19:55:55Z,7609.0,PAIR_METADATA_ONLY_NOT_TRACK_EVOLUTION,True,False,False,27.7262621053,28.5728699154,0.8466078101,11.9683662160,9.8322991901,-2.1360670259,37.6609170584,31.1138488872,-6.5470681712,3.2094518134,3.4606669927,0.2512151793,5.2119004480,5.1292479301,-0.0826525178,1001.0271666667,999.3204166667,-1.7067500000,100.0000000000,94.7597222222,-5.2402777778,830.9966666667,782.8680555556,-48.1286111111,27.6259259259,29.4444444444,1.8185185185,38.1814814815,46.9197530864,8.7382716049,0.4500000000,0.3954444444,-0.0545555556,2.0000000000,1.0000000000,-1.0000000000,29.5700000000,29.5227222222,-0.0472777778
R3B3B-018,2021,Colton Herta,26,e9da8645-6367-51bf-8601-3670e9e76c5e,90108456-7f40-5313-a9ff-43273b65d2f0,231.6480000000,-1.4190000000,230.2290000000,False,False,NORMAL_DIAGNOSTIC,True,True,True,True,True,True,2021-05-22T18:12:27Z,2021-05-22T20:25:16Z,7969.0,PAIR_METADATA_ONLY_NOT_TRACK_EVOLUTION,True,False,False,27.9429813385,28.7326957194,0.7897143809,11.5572014618,9.3656699795,-2.1915314823,36.1757892953,29.8518369428,-6.3239523525,3.3923311162,3.5836558798,0.1913247636,5.1460139537,5.0303163799,-0.1156975738,1000.9000000000,999.5105555556,-1.3894444444,100.0000000000,69.2588888889,-30.7411111111,813.9275000000,731.7311111111,-82.1963888889,27.6833333333,30.3802469136,2.6969135802,37.7777777778,48.3333333333,10.5555555556,0.4417000000,0.3868444444,-0.0548555556,1.1700000000,2.6311111111,1.4611111111,29.5617000000,29.5131555556,-0.0485444444
R3B3B-019,2021,Juan Pablo Montoya,86,11bd473d-0cf3-56e2-9aa9-fb4487870c59,f39f497a-d8a0-55e6-8bd1-ef646a4f6e71,229.8910000000,-0.1540000000,229.7370000000,False,False,NORMAL_DIAGNOSTIC,True,True,True,True,True,True,2021-05-22T17:11:36Z,2021-05-22T21:02:45Z,13869.0,PAIR_METADATA_ONLY_NOT_TRACK_EVOLUTION,True,False,False,26.7918438721,28.7748995463,1.9830556742,12.2586828613,11.0552646637,-1.2034181976,40.5229847376,33.3349635598,-7.1880211778,3.3010452137,3.1487291005,-0.1523161132,5.4635172269,4.5776171080,-0.8859001189,1001.5646666667,999.2954166667,-2.2692500000,100.0000000000,5.7708333333,-94.2291666667,741.3000000000,666.8416666667,-74.4583333333,27.6518518519,30.0000000000,2.3481481481,37.9555555556,46.9166666667,8.9611111111,0.4568000000,0.3781666667,-0.0786333333,0.2266666667,1.0000000000,0.7733333333,29.5822666667,29.5000000000,-0.0822666667
R3B3B-020,2021,Ed Jones,18,4e9e7c88-ddeb-5840-93be-4f539f6eaf04,4085390f-e83a-5315-8def-464aeb920059,230.2460000000,0.7980000000,231.0440000000,False,False,NORMAL_DIAGNOSTIC,True,True,True,True,True,True,2021-05-22T16:19:56Z,2021-05-22T21:07:57Z,17281.0,PAIR_METADATA_ONLY_NOT_TRACK_EVOLUTION,True,False,False,25.1549520874,28.7648649597,3.6099128723,14.1539500088,10.8487992096,-3.3051507992,50.8082625261,32.9231720412,-17.8850904849,2.2475045091,3.2004086232,0.9529041141,4.6397391745,4.6091495566,-0.0305896178,1001.3328888889,999.2867500000,-2.0461388889,100.0000000000,5.3375000000,-94.6625000000,528.6466666667,651.4150000000,122.7683333333,26.6666666667,30.0000000000,3.3333333333,34.6271604938,46.3388888889,11.7117283951,0.5000000000,0.3747000000,-0.1253000000,1.3422222222,1.0000000000,-0.3422222222,29.6000000000,29.5000000000,-0.1000000000
R3B3B-021,2021,Stefan Wilson,25,8c31470a-6324-527c-bfc3-fe19d8c1dc4d,8ac7badc-828c-5c70-bbf4-d92f136c2564,229.7140000000,-0.0820000000,229.6320000000,False,True,NORMAL_DIAGNOSTIC,True,True,True,True,True,True,2021-05-22T16:29:56Z,2021-05-22T21:12:26Z,7550.0,PAIR_METADATA_ONLY_NOT_TRACK_EVOLUTION,True,False,False,25.5089407349,28.7562133450,3.2472726101,13.8724228075,10.6707889303,-3.2016338772,48.8961490938,32.5681338409,-16.3280152529,2.2907990616,3.2449656475,0.9541665859,4.7522677010,4.6363361870,-0.1159315140,1001.3995555556,999.2792777778,-2.1202777778,100.0000000000,4.9638888889,-95.0361111111,581.6466666667,638.1144444444,56.4677777778,26.6666666667,30.0000000000,3.3333333333,34.9975308642,45.8407407407,10.8432098765,0.5000000000,0.3717111111,-0.1282888889,0.0088888889,1.0000000000,0.9911111111,29.6000000000,29.5000000000,-0.1000000000
R3B3B-022,2021,Felix Rosenqvist,7,4bfd7a23-3f35-5bcf-9655-c286d7ee30ed,595096e7-98a7-552c-a5f8-f2f3eeb54d68,230.4980000000,0.2460000000,230.7440000000,False,False,NORMAL_DIAGNOSTIC,True,True,True,True,True,True,2021-05-22T17:35:46Z,2021-05-22T21:21:31Z,13545.0,PAIR_METADATA_ONLY_NOT_TRACK_EVOLUTION,True,False,False,27.5353305732,28.7386849806,1.2033544074,12.1967767249,10.3101361338,-1.8866405911,38.6842925880,31.8488185281,-6.8354740600,3.1314463416,3.3352391728,0.2037928311,5.2326850131,4.6914169066,-0.5412681065,1001.1827222222,999.2641388889,-1.9185833333,100.0000000000,4.2069444444,-95.7930555556,835.8855555556,611.1672222222,-224.7183333333,27.7777777778,30.2413580247,2.4635802469,38.3333333333,45.5555555556,7.2222222222,0.4438444444,0.3700000000,-0.0738444444,2.6155555556,1.4344444444,-1.1811111111,29.5761555556,29.5000000000,-0.0761555556
R3B3B-023,2021,Marco Andretti,98,b671a083-ccd6-5511-a882-53e7bf202c19,cb6ab391-510a-562a-a1bc-a173959477a0,229.8720000000,-0.0020000000,229.8700000000,False,False,NORMAL_DIAGNOSTIC,True,True,True,True,True,True,2021-05-22T18:54:55Z,2021-05-22T21:25:30Z,9035.0,PAIR_METADATA_ONLY_NOT_TRACK_EVOLUTION,True,False,False,28.6677558051,28.7309982300,0.0632424249,10.5928221809,10.1519783020,-0.4408438789,32.5645828917,31.5333756661,-1.0312072256,3.0215545096,3.3748270123,0.3532725027,4.8716900873,4.7155715708,-0.1561185165,1000.1677777778,999.2575000000,-0.9102777778,93.5611111111,3.8750000000,-89.6861111111,898.5916666667,599.3500000000,-299.2416666667,28.5123456790,30.3888888889,1.8765432099,41.6481481481,45.5555555556,3.9074074074,0.4333888889,0.3700000000,-0.0633888889,1.0000000000,1.7000000000,0.7000000000,29.5533888889,29.5000000000,-0.0533888889
R3B3B-024,2021,Simona De Silvestro,16,8f660bff-74bd-551e-9007-95b730f87e7d,adc26df0-920d-5dc7-a952-03b3fb57700a,228.1730000000,0.2220000000,228.3950000000,False,True,NORMAL_DIAGNOSTIC,True,True,True,True,True,True,2021-05-22T18:26:36Z,2021-05-22T21:30:13Z,11017.0,PAIR_METADATA_ONLY_NOT_TRACK_EVOLUTION,True,False,False,28.0118932088,28.6925103082,0.6806170993,11.3021159871,12.1925663079,0.8904503208,35.4387183324,36.0926979054,0.6539795729,3.5277049387,2.9502880188,-0.5774169199,5.0904424004,4.0364710306,-1.0539713697,1000.9000000000,998.5014444444,-2.3985555556,100.0000000000,51.6533333333,-48.3466666667,799.0700000000,578.8608333333,-220.2091666667,27.7777777778,30.5555555556,2.7777777778,38.2074074074,45.5475308642,7.3401234568,0.4400000000,0.3701444444,-0.0698555556,1.0000000000,1.9855555556,0.9855555556,29.5600000000,29.4998555556,-0.0601444444
R3B3B-025,2021,Will Power,12,6992580a-0371-5eda-b01d-2adaca099ff4,5aa71106-e201-5143-bb9a-21ccf4063a9e,229.0520000000,0.1760000000,229.2280000000,False,True,NORMAL_DIAGNOSTIC,True,True,True,True,True,True,2021-05-22T17:21:36Z,2021-05-22T21:33:54Z,15138.0,PAIR_METADATA_ONLY_NOT_TRACK_EVOLUTION,True,False,False,26.9661450195,28.6901123047,1.7239672852,12.2397467041,12.1820413208,-0.0577053833,40.0677664010,36.0727395012,-3.9950268998,3.3270907284,2.9562650920,-0.3708256364,5.2885005394,4.0161987852,-1.2723017542,1001.4480000000,998.5260000000,-2.9220000000,100.0000000000,45.7600000000,-54.2400000000,758.8000000000,567.9950000000,-190.8050000000,27.7777777778,30.5555555556,2.7777777778,38.3333333333,45.4111111111,7.0777777778,0.4456000000,0.3726000000,-0.0730000000,1.3200000000,1.7400000000,0.4200000000,29.5800000000,29.4974000000,-0.0826000000
