csv_path,has_car_number_column,row_count,observed_literal_car_numbers,numeric_collision_detected,leading_zero_present,contains_known_collision_numeric_key,risk_class,notes
weather/output/chronology_rescue_2022_castroneves_car06_reaudit_v1.csv,True,2,06,False,True,True,COLLISION_SENSITIVE_BUT_LITERAL_PRESERVED,Known collision-sensitive car number appears with literal formatting preserved.
weather/output/chronology_rescue_2022_castroneves_first_run_final_adjudication_v1.csv,True,1,06,False,True,True,COLLISION_SENSITIVE_BUT_LITERAL_PRESERVED,Known collision-sensitive car number appears with literal formatting preserved.
weather/output/chronology_rescue_2022_chronology_only_link_resolution_v1.csv,True,4,2|24|25|26,False,False,False,NO_KNOWN_COLLISION_SIGNAL,No canonical collision key detected.
weather/output/chronology_rescue_2022_derived_attempt_intervals_v1.csv,True,2,2|3,False,False,False,NO_KNOWN_COLLISION_SIGNAL,No canonical collision key detected.
weather/output/chronology_rescue_2022_editorial_entity_matches_v1.csv,True,47,10|12|21|3|48|5|51|9|98,False,False,False,NO_KNOWN_COLLISION_SIGNAL,No canonical collision key detected.
weather/output/chronology_rescue_2022_evidence_with_attempt_ids_v1.csv,True,15,2|21|3|5|51|7,False,False,False,NO_KNOWN_COLLISION_SIGNAL,No canonical collision key detected.
weather/output/chronology_rescue_2022_evidence_with_attempt_ids_v2.csv,True,15,2|21|3|5|51|7,False,False,False,NO_KNOWN_COLLISION_SIGNAL,No canonical collision key detected.
weather/output/chronology_rescue_2022_karam_racer_two_event_evidence_v1.csv,True,2,24,False,False,False,NO_KNOWN_COLLISION_SIGNAL,No canonical collision key detected.
weather/output/chronology_rescue_2022_next_rescue_priority_v1.csv,True,44,06|1|10|11|12|14|15|18|2|20|21|23|24|25|26|27|28|29|3|30|33|4|45|48|5|51|6|60|7|77|8|9|98,True,True,True,VISIBLE_LITERAL_COLLISION,File contains multiple literal car numbers that collapse numerically. String identity must be preserved.
weather/output/chronology_rescue_2022_next_rescue_priority_v2.csv,True,44,06|1|10|11|12|14|15|18|2|20|21|23|24|25|26|27|28|29|3|30|33|4|45|48|5|51|6|60|7|77|8|9|98,True,True,True,VISIBLE_LITERAL_COLLISION,File contains multiple literal car numbers that collapse numerically. String identity must be preserved.
weather/output/chronology_rescue_2022_official_evidence_v1.csv,True,5,21|5|51|7,False,False,False,NO_KNOWN_COLLISION_SIGNAL,No canonical collision key detected.
weather/output/chronology_rescue_2022_repeat_pair_coverage_v1.csv,True,8,06|18|24|27|3|51|77|98,False,True,True,COLLISION_SENSITIVE_BUT_LITERAL_PRESERVED,Known collision-sensitive car number appears with literal formatting preserved.
weather/output/chronology_rescue_2022_result_row_matches_v1.csv,True,4,21|5|51|7,False,False,False,NO_KNOWN_COLLISION_SIGNAL,No canonical collision key detected.
weather/output/chronology_rescue_2022_result_to_canonical_attempt_matches_v1.csv,True,40,1|10|11|12|14|15|18|2|20|21|23|24|26|27|28|29|3|30|33|4|45|48|5|51|6|60|7|77|8|9|98,False,False,True,POTENTIAL_PRIOR_NORMALIZATION,"File contains a numeric-equivalent key known to collide in canonical data, but no leading-zero literal is visible. Review provenance/script."
weather/output/chronology_rescue_2022_result_to_canonical_attempt_matches_v2.csv,True,44,1|10|11|12|14|15|18|2|20|21|23|24|25|26|27|28|29|3|30|33|4|45|48|5|51|6|60|7|77|8|9|98,False,False,True,POTENTIAL_PRIOR_NORMALIZATION,"File contains a numeric-equivalent key known to collide in canonical data, but no leading-zero literal is visible. Review provenance/script."
weather/output/chronology_rescue_2022_sato_marco_result_context_v1.csv,True,4,51|98,False,False,False,NO_KNOWN_COLLISION_SIGNAL,No canonical collision key detected.
weather/output/chronology_rescue_2022_secondary_adjudicated_evidence_v1.csv,True,3,24|27|3,False,False,False,NO_KNOWN_COLLISION_SIGNAL,No canonical collision key detected.
weather/output/chronology_rescue_2022_unresolved_attempt_links_v1.csv,True,4,2|24|25|26,False,False,False,NO_KNOWN_COLLISION_SIGNAL,No canonical collision key detected.
weather/output/hrrr_leakage_safe_forecast_candidate_audit.csv,True,408,1|10|11|12|14|15|16|18|2|20|21|22|24|25|26|27|28|29|3|30|33|4|41|44|45|47|48|5|50|51|55|59|6|60|66|67|7|75|77|8|81|86|88|9|98,False,False,True,POTENTIAL_PRIOR_NORMALIZATION,"File contains a numeric-equivalent key known to collide in canonical data, but no leading-zero literal is visible. Review provenance/script."
weather/output/large_gain_event_evidence_audit_v1.csv,True,4,59|60|77|81,False,False,False,NO_KNOWN_COLLISION_SIGNAL,No canonical collision key detected.
weather/output/large_gain_event_lap_audit_v1.csv,True,16,59|60|77|81,False,False,False,NO_KNOWN_COLLISION_SIGNAL,No canonical collision key detected.
weather/output/large_gain_event_section_audit_v1.csv,True,288,59|60|77|81,False,False,False,NO_KNOWN_COLLISION_SIGNAL,No canonical collision key detected.
weather/output/official_api_record_semantics_by_car_v1.csv,True,111,06|1|10|11|12|15|16|18|2|20|21|22|24|25|26|27|3|30|4|45|47|5|51|59|60|7|75|77|8|81|86|88|9|98,False,True,True,COLLISION_SENSITIVE_BUT_LITERAL_PRESERVED,Known collision-sensitive car number appears with literal formatting preserved.
weather/output/official_api_record_semantics_records_v1.csv,True,230,06|1|10|11|12|14|15|16|17|18|2|20|21|22|23|24|25|26|27|28|29|3|30|33|4|41|44|45|47|48|5|50|51|55|59|6|60|66|67|7|75|77|78|8|81|86|88|9|98,True,True,True,VISIBLE_LITERAL_COLLISION,File contains multiple literal car numbers that collapse numerically. String identity must be preserved.
weather/output/official_day1_results_attempt_rows_v1.csv,True,320,06|1|10|11|12|14|15|16|17|18|2|20|21|22|23|24|25|26|27|28|29|3|30|33|4|41|44|45|47|48|5|50|51|55|59|6|60|66|67|7|75|77|78|8|81|86|88|9|98,True,True,True,VISIBLE_LITERAL_COLLISION,File contains multiple literal car numbers that collapse numerically. String identity must be preserved.
weather/output/performance_context_features.csv,True,136,1|10|11|12|14|15|16|18|2|20|21|22|24|25|26|27|28|29|3|30|33|4|41|44|45|47|48|5|50|51|55|59|6|60|66|67|7|75|77|8|81|86|88|9|98,False,False,True,POTENTIAL_PRIOR_NORMALIZATION,"File contains a numeric-equivalent key known to collide in canonical data, but no leading-zero literal is visible. Review provenance/script."
weather/output/performance_grade_attempt_realized_environment.csv,True,129,1|10|11|12|14|15|16|18|2|20|21|22|24|25|26|27|28|29|3|30|33|4|41|44|45|47|48|5|50|51|55|59|6|60|66|67|7|75|77|8|81|86|88|9|98,False,False,True,POTENTIAL_PRIOR_NORMALIZATION,"File contains a numeric-equivalent key known to collide in canonical data, but no leading-zero literal is visible. Review provenance/script."
weather/output/performance_grade_attempt_realized_environment_2024_supported.csv,True,7,11|12|3|4|60|7,False,False,False,NO_KNOWN_COLLISION_SIGNAL,No canonical collision key detected.
weather/output/performance_grade_attempt_timing.csv,True,129,1|10|11|12|14|15|16|18|2|20|21|22|24|25|26|27|28|29|3|30|33|4|41|44|45|47|48|5|50|51|55|59|6|60|66|67|7|75|77|8|81|86|88|9|98,False,False,True,POTENTIAL_PRIOR_NORMALIZATION,"File contains a numeric-equivalent key known to collide in canonical data, but no leading-zero literal is visible. Review provenance/script."
weather/output/performance_grade_attempt_timing_2024_supported.csv,True,7,11|12|3|4|60|7,False,False,False,NO_KNOWN_COLLISION_SIGNAL,No canonical collision key detected.
weather/output/performance_grade_hrrr_forecast_alignment.csv,True,136,1|10|11|12|14|15|16|18|2|20|21|22|24|25|26|27|28|29|3|30|33|4|41|44|45|47|48|5|50|51|55|59|6|60|66|67|7|75|77|8|81|86|88|9|98,False,False,True,POTENTIAL_PRIOR_NORMALIZATION,"File contains a numeric-equivalent key known to collide in canonical data, but no leading-zero literal is visible. Review provenance/script."
weather/output/ptsc_attempt_realized_environment_alignment.csv,True,9,12|15|17|21|7,False,False,False,NO_KNOWN_COLLISION_SIGNAL,No canonical collision key detected.
weather/output/repeat_attempt_delta_baseline_predictions_v1.csv,True,195,11|12|16|18|2|20|21|25|26|27|29|3|33|4|47|5|59|60|66|7|77|8|81|86|88|9|98,False,False,False,NO_KNOWN_COLLISION_SIGNAL,No canonical collision key detected.
weather/output/repeat_delta_regime_row_diagnostics_v1.csv,True,39,11|12|16|18|2|20|21|25|26|27|29|3|33|4|47|5|59|60|66|7|77|8|81|86|88|9|98,False,False,False,NO_KNOWN_COLLISION_SIGNAL,No canonical collision key detected.
weather/output/repeat_performance_uncertainty_rows_v1.csv,True,39,11|12|16|18|2|20|21|25|26|27|29|3|33|4|47|5|59|60|66|7|77|8|81|86|88|9|98,False,False,False,NO_KNOWN_COLLISION_SIGNAL,No canonical collision key detected.
weather/output/unified_attempt_action_lane_ledger_v1.csv,True,1,3,False,False,False,NO_KNOWN_COLLISION_SIGNAL,No canonical collision key detected.
weather/output/unified_attempt_action_lane_ledger_v2.csv,True,2,06|3,False,True,True,COLLISION_SENSITIVE_BUT_LITERAL_PRESERVED,Known collision-sensitive car number appears with literal formatting preserved.
weather/output/unified_attempt_chronology_constraint_ledger_v1.csv,True,142,1|10|11|12|14|15|16|17|18|2|20|21|22|24|25|26|27|28|29|3|30|33|4|41|44|45|47|48|5|50|51|55|59|6|60|66|67|7|75|77|8|81|86|88|9|98,False,False,True,POTENTIAL_PRIOR_NORMALIZATION,"File contains a numeric-equivalent key known to collide in canonical data, but no leading-zero literal is visible. Review provenance/script."
weather/output/unified_attempt_chronology_constraint_ledger_v2.csv,True,151,1|10|11|12|14|15|16|17|18|2|20|21|22|24|25|26|27|28|29|3|30|33|4|41|44|45|47|48|5|50|51|55|59|6|60|66|67|7|75|77|8|81|86|88|9|98,False,False,True,POTENTIAL_PRIOR_NORMALIZATION,"File contains a numeric-equivalent key known to collide in canonical data, but no leading-zero literal is visible. Review provenance/script."
weather/output/unified_attempt_chronology_constraint_ledger_v3.csv,True,153,1|10|11|12|14|15|16|17|18|2|20|21|22|24|25|26|27|28|29|3|30|33|4|41|44|45|47|48|5|50|51|55|59|6|60|66|67|7|75|77|8|81|86|88|9|98,False,False,True,POTENTIAL_PRIOR_NORMALIZATION,"File contains a numeric-equivalent key known to collide in canonical data, but no leading-zero literal is visible. Review provenance/script."
weather/output/unified_attempt_chronology_constraint_ledger_v4.csv,True,155,06|1|10|11|12|14|15|16|17|18|2|20|21|22|24|25|26|27|28|29|3|30|33|4|41|44|45|47|48|5|50|51|55|59|6|60|66|67|7|75|77|8|81|86|88|9|98,True,True,True,VISIBLE_LITERAL_COLLISION,File contains multiple literal car numbers that collapse numerically. String identity must be preserved.
