driver_name,state_id,historical_action_label,simulated_action,case_type,historical_applicability,historical_feasibility,interpretation,performance_envelope_valid_as_generic_semantic,hard_recommendation_allowed
Helio Castroneves,DTV3-2022-HELIO_CASTRONEVES,BAILED_OUT_OF_FIRST_RUN,REPEAT_LANE2_RETAIN_CURRENT_RESULT,REPEAT_CASE_LANE_NOT_IDENTIFIED,GENERIC_COUNTERFACTUAL_OR_PARTIAL_HISTORY,NOT_FULLY_IDENTIFIABLE,"Performance envelope is valid as generic action semantics, but the historically available Lane/action set is not fully reconstructed.",True,False
Helio Castroneves,DTV3-2022-HELIO_CASTRONEVES,BAILED_OUT_OF_FIRST_RUN,REPEAT_LANE1_WITHDRAW_CURRENT_RESULT,REPEAT_CASE_LANE_NOT_IDENTIFIED,GENERIC_COUNTERFACTUAL_OR_PARTIAL_HISTORY,NOT_FULLY_IDENTIFIABLE,"Performance envelope is valid as generic action semantics, but the historically available Lane/action set is not fully reconstructed.",True,False
Marco Andretti,DTV3-2022-MARCO_ANDRETTI,SECOND_ATTEMPT,STOP_RETAIN_CURRENT_RESULT,REPEAT_CASE_LANE_NOT_IDENTIFIED,GENERIC_COUNTERFACTUAL_OR_PARTIAL_HISTORY,NOT_FULLY_IDENTIFIABLE,"Performance envelope is valid as generic action semantics, but the historically available Lane/action set is not fully reconstructed.",True,False
Marco Andretti,DTV3-2022-MARCO_ANDRETTI,SECOND_ATTEMPT,REPEAT_LANE2_RETAIN_CURRENT_RESULT,REPEAT_CASE_LANE_NOT_IDENTIFIED,GENERIC_COUNTERFACTUAL_OR_PARTIAL_HISTORY,NOT_FULLY_IDENTIFIABLE,"Performance envelope is valid as generic action semantics, but the historically available Lane/action set is not fully reconstructed.",True,False
Marco Andretti,DTV3-2022-MARCO_ANDRETTI,SECOND_ATTEMPT,REPEAT_LANE1_WITHDRAW_CURRENT_RESULT,REPEAT_CASE_LANE_NOT_IDENTIFIED,GENERIC_COUNTERFACTUAL_OR_PARTIAL_HISTORY,NOT_FULLY_IDENTIFIABLE,"Performance envelope is valid as generic action semantics, but the historically available Lane/action set is not fully reconstructed.",True,False
Sage Karam,DTV3-2022-SAGE_KARAM,REPEAT_ATTEMPT_IMPROVED,STOP_RETAIN_CURRENT_RESULT,REPEAT_CASE_LANE_NOT_IDENTIFIED,GENERIC_COUNTERFACTUAL_OR_PARTIAL_HISTORY,NOT_FULLY_IDENTIFIABLE,"Performance envelope is valid as generic action semantics, but the historically available Lane/action set is not fully reconstructed.",True,False
Sage Karam,DTV3-2022-SAGE_KARAM,REPEAT_ATTEMPT_IMPROVED,REPEAT_LANE2_RETAIN_CURRENT_RESULT,REPEAT_CASE_LANE_NOT_IDENTIFIED,GENERIC_COUNTERFACTUAL_OR_PARTIAL_HISTORY,NOT_FULLY_IDENTIFIABLE,"Performance envelope is valid as generic action semantics, but the historically available Lane/action set is not fully reconstructed.",True,False
Sage Karam,DTV3-2022-SAGE_KARAM,REPEAT_ATTEMPT_IMPROVED,REPEAT_LANE1_WITHDRAW_CURRENT_RESULT,REPEAT_CASE_LANE_NOT_IDENTIFIED,GENERIC_COUNTERFACTUAL_OR_PARTIAL_HISTORY,NOT_FULLY_IDENTIFIABLE,"Performance envelope is valid as generic action semantics, but the historically available Lane/action set is not fully reconstructed.",True,False
Scott McLaughlin,DTV3-2022-SCOTT_MCLAUGHLIN,WITHDRAW_EXISTING_RESULT_AND_USE_LANE1,STOP_RETAIN_CURRENT_RESULT,ELECTIVE_LANE1_OBSERVED,COUNTERFACTUAL_ACTION,RULE_POSSIBILITY_NOT_HISTORICALLY_RECONSTRUCTED,"Envelope is a counterfactual comparison. The historical evidence directly supports the Lane 1 action, not this alternative.",True,False
Scott McLaughlin,DTV3-2022-SCOTT_MCLAUGHLIN,WITHDRAW_EXISTING_RESULT_AND_USE_LANE1,REPEAT_LANE2_RETAIN_CURRENT_RESULT,ELECTIVE_LANE1_OBSERVED,COUNTERFACTUAL_ACTION,RULE_POSSIBILITY_NOT_HISTORICALLY_RECONSTRUCTED,"Envelope is a counterfactual comparison. The historical evidence directly supports the Lane 1 action, not this alternative.",True,False
Scott McLaughlin,DTV3-2022-SCOTT_MCLAUGHLIN,WITHDRAW_EXISTING_RESULT_AND_USE_LANE1,REPEAT_LANE1_WITHDRAW_CURRENT_RESULT,ELECTIVE_LANE1_OBSERVED,OBSERVED_ACTION,SUPPORTED,Historical Lane 1 withdrawal action is directly supported.,True,False
Takuma Sato,DTV3-2022-TAKUMA_SATO,REQUIRED_REATTEMPT_AFTER_INVALIDATION,STOP_RETAIN_CURRENT_RESULT,REQUIRED_REATTEMPT_CASE,NOT_APPLICABLE_AS_ELECTIVE_CHOICE,NOT_COMPARABLE,"The prior run was invalidated and a reattempt was required. STOP/Lane2/Lane1 envelopes are generic mathematical counterfactuals only, not reconstructed historical choices.",True,False
Takuma Sato,DTV3-2022-TAKUMA_SATO,REQUIRED_REATTEMPT_AFTER_INVALIDATION,REPEAT_LANE2_RETAIN_CURRENT_RESULT,REQUIRED_REATTEMPT_CASE,NOT_APPLICABLE_AS_ELECTIVE_CHOICE,NOT_COMPARABLE,"The prior run was invalidated and a reattempt was required. STOP/Lane2/Lane1 envelopes are generic mathematical counterfactuals only, not reconstructed historical choices.",True,False
Takuma Sato,DTV3-2022-TAKUMA_SATO,REQUIRED_REATTEMPT_AFTER_INVALIDATION,REPEAT_LANE1_WITHDRAW_CURRENT_RESULT,REQUIRED_REATTEMPT_CASE,NOT_APPLICABLE_AS_ELECTIVE_CHOICE,NOT_COMPARABLE,"The prior run was invalidated and a reattempt was required. STOP/Lane2/Lane1 envelopes are generic mathematical counterfactuals only, not reconstructed historical choices.",True,False
