resource_id,discovery_phase,domain,year,events_session_id,resource_class,source_authority,source_url,endpoint_template,http_method,query_parameters,payload_parameters,response_type,response_schema_summary,historical_query_supported,lane_fields_present,queue_fields_present,leaderboard_fields_present,rank_fields_present,cutoff_fields_present,withdraw_fields_present,timestamp_fields_present,race_control_fields_present,session_state_fields_present,tested,http_status,raw_evidence_path,evidence_quality,promotion_status,notes
official_drivers_current,R2A,indycar.blob.core.windows.net,,,CURRENT_DRIVER_METADATA_JSON,OFFICIAL_FIRST_PARTY,https://indycar.blob.core.windows.net/racecontrol/driversfeed.json,https://indycar.blob.core.windows.net/racecontrol/driversfeed.json,GET,cache-busting timestamp only in current frontend,,application/json,See field inventory,NOT_CONFIRMED,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,LOCAL_RESCUED_COPY,weather/evidence/rescue/official_lane_queue_live_resources/current_driversfeed.json,HIGH_FOR_ARCHITECTURE_ONLY,DATA_RETURNED,Rescued current feed. It is not evidence for 2020-2024 historical state and exposes no confirmed historical session selector.
official_track_activity_nxt_current,R2A,indycar.blob.core.windows.net,,,CURRENT_NXT_TRACK_ACTIVITY_JSON,OFFICIAL_FIRST_PARTY,https://indycar.blob.core.windows.net/racecontrol/trackactivityleaderboardfeed_nxt.json,https://indycar.blob.core.windows.net/racecontrol/trackactivityleaderboardfeed_nxt.json,GET,cache-busting timestamp only in current frontend,,application/json,See field inventory,NOT_CONFIRMED,NO,NO,YES,YES,NO,NO,YES,NO,YES,YES,LOCAL_RESCUED_COPY,weather/evidence/rescue/official_lane_queue_live_resources/current_trackactivityleaderboardfeed_nxt.json,HIGH_FOR_ARCHITECTURE_ONLY,DATA_RETURNED,Rescued current feed. It is not evidence for 2020-2024 historical state and exposes no confirmed historical session selector.
official_schedule_nxt_current,R2A,indycar.blob.core.windows.net,,,CURRENT_NXT_SCHEDULE_JSON,OFFICIAL_FIRST_PARTY,https://indycar.blob.core.windows.net/racecontrol/schedulefeed_nxt.json,https://indycar.blob.core.windows.net/racecontrol/schedulefeed_nxt.json,GET,cache-busting timestamp only in current frontend,,application/json,See field inventory,NOT_CONFIRMED,NO,NO,NO,NO,NO,NO,YES,NO,YES,YES,LOCAL_RESCUED_COPY,weather/evidence/rescue/official_lane_queue_live_resources/current_schedulefeed_nxt.json,HIGH_FOR_ARCHITECTURE_ONLY,DATA_RETURNED,Rescued current feed. It is not evidence for 2020-2024 historical state and exposes no confirmed historical session selector.
official_drivers_nxt_current,R2A,indycar.blob.core.windows.net,,,CURRENT_NXT_DRIVER_METADATA_JSON,OFFICIAL_FIRST_PARTY,https://indycar.blob.core.windows.net/racecontrol/driversfeed_nxt.json,https://indycar.blob.core.windows.net/racecontrol/driversfeed_nxt.json,GET,cache-busting timestamp only in current frontend,,application/json,See field inventory,NOT_CONFIRMED,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,LOCAL_RESCUED_COPY,weather/evidence/rescue/official_lane_queue_live_resources/current_driversfeed_nxt.json,HIGH_FOR_ARCHITECTURE_ONLY,DATA_RETURNED,Rescued current feed. It is not evidence for 2020-2024 historical state and exposes no confirmed historical session selector.
official_live_timing_sessionid_probe_6382,R2A,indycar.blob.core.windows.net,2024,6382,HISTORICAL_QUERY_PARAMETER_PROBE,OFFICIAL_FIRST_PARTY,https://indycar.blob.core.windows.net/racecontrol/timingscoring-ris.json?sessionid=6382,https://indycar.blob.core.windows.net/racecontrol/timingscoring-ris.json?sessionid=<EventsSessionID>,GET,sessionid=6382,,application/json,Current timing_results payload,NO_FOR_TESTED_PARAMETER,NO,NO,YES,YES,NO,NO,YES,NO,YES,YES,200,weather/evidence/rescue/official_lane_queue_live_resources/probe_timingscoring_sessionid_6382.json,HIGH_FOR_NEGATIVE_PARAMETER_TEST,ENDPOINT_CONFIRMED,Requested historical EventsSessionID 6382; response heartbeat returned current EventSessionID 6736. The tested sessionid parameter did not select the requested historical session.
timing71_capture_2020_1,R2A,timing71.org,2020,5771,CAPTURE_MANIFEST_AND_SNAPSHOTS,THIRD_PARTY_CAPTURE,IndyCar; http://racecontrol.indycar.com/,Upstream endpoint not preserved; 2020/2021 manifest names http://racecontrol.indycar.com/,,,,Timing71 zip/JSON,colSpec plus trackDataSpec: [],NOT_APPLICABLE,NO,NO,YES,NO,NO,NO,YES,NO,YES,YES,LOCAL_CAPTURE,evidence/timing71_2020_part1.zip,MEDIUM_ARCHITECTURAL_CLUE_ONLY,REVIEW_REQUIRED,Never treated as official. Captured snapshots show leaderboard/current-qualifier architecture but preserve no exact upstream request endpoint or official payload.
timing71_capture_2020_2,R2A,timing71.org,2020,5771,CAPTURE_MANIFEST_AND_SNAPSHOTS,THIRD_PARTY_CAPTURE,IndyCar; http://racecontrol.indycar.com/,Upstream endpoint not preserved; 2020/2021 manifest names http://racecontrol.indycar.com/,,,,Timing71 zip/JSON,colSpec plus trackDataSpec: [],NOT_APPLICABLE,NO,NO,YES,NO,NO,NO,YES,NO,YES,YES,LOCAL_CAPTURE,evidence/timing71_2020_part2.zip,MEDIUM_ARCHITECTURAL_CLUE_ONLY,REVIEW_REQUIRED,Never treated as official. Captured snapshots show leaderboard/current-qualifier architecture but preserve no exact upstream request endpoint or official payload.
timing71_capture_2021_1,R2A,timing71.org,2021,5838,CAPTURE_MANIFEST_AND_SNAPSHOTS,THIRD_PARTY_CAPTURE,IndyCar; http://racecontrol.indycar.com/,Upstream endpoint not preserved; 2020/2021 manifest names http://racecontrol.indycar.com/,,,,Timing71 zip/JSON,"colSpec plus trackDataSpec: ['Current qualifier', 'Laps', 'Lap 1 speed', 'Lap 2 speed', 'Lap 3 speed', 'Lap 4 speed', 'Average speed', 'Current rank']",NOT_APPLICABLE,NO,NO,YES,YES,NO,NO,YES,NO,YES,YES,LOCAL_CAPTURE,evidence/timing71_2021_sample.zip,MEDIUM_ARCHITECTURAL_CLUE_ONLY,REVIEW_REQUIRED,Never treated as official. Captured snapshots show leaderboard/current-qualifier architecture but preserve no exact upstream request endpoint or official payload.
timing71_capture_2023_1,R2A,timing71.org,2023,6202,CAPTURE_MANIFEST_AND_SNAPSHOTS,THIRD_PARTY_CAPTURE,,Upstream endpoint not preserved; 2020/2021 manifest names http://racecontrol.indycar.com/,,,,Timing71 zip/JSON,"colSpec plus trackDataSpec: ['Current qualifier', 'Laps', 'Lap 1 speed', 'Lap 2 speed', 'Lap 3 speed', 'Lap 4 speed', 'Average speed', 'Current rank']",NOT_APPLICABLE,NO,NO,YES,YES,NO,NO,YES,NO,YES,YES,LOCAL_CAPTURE,evidence/timing71_2023.zip,MEDIUM_ARCHITECTURAL_CLUE_ONLY,REVIEW_REQUIRED,Never treated as official. Captured snapshots show leaderboard/current-qualifier architecture but preserve no exact upstream request endpoint or official payload.
timing71_capture_2024_1,R2A,timing71.org,2024,6382,CAPTURE_MANIFEST_AND_SNAPSHOTS,THIRD_PARTY_CAPTURE,,Upstream endpoint not preserved; 2020/2021 manifest names http://racecontrol.indycar.com/,,,,Timing71 zip/JSON,"colSpec plus trackDataSpec: ['Current qualifier', 'Laps', 'Lap 1 speed', 'Lap 2 speed', 'Lap 3 speed', 'Lap 4 speed', 'Average speed', 'Current rank']",NOT_APPLICABLE,NO,NO,YES,YES,NO,NO,YES,NO,YES,YES,LOCAL_CAPTURE,evidence/timing71_2024.zip,MEDIUM_ARCHITECTURAL_CLUE_ONLY,REVIEW_REQUIRED,Never treated as official. Captured snapshots show leaderboard/current-qualifier architecture but preserve no exact upstream request endpoint or official payload.
